"","flightNumber","date","ALT_GIN","LAT_GIN","LON_GIN","PS_RVSM","PS_RVSM_FLAG","TAT_ND_R","TAT_ND_R_FLAG","RH_LIQ","O3_TECO","no_mr","no2_mr","no_u","no2_u","no_lod","no2_lod","co2_drymole","co2_flag","ch4_drymole","ch4_flag","ch4_bias","ch4_uncert","co2_bias","co2_uncert","chl","nh4","no3","org","so4","mass_bc_ugm3","n_bc"
"7784","c416",2025-06-11T16:07:50+00:00,10763.1925292969,53.2511492609978,2.22123865261674,250.212067174912,0,223.888778877258,0,38.4737693786621,179.219995117187,226.201865081787,117.072534282207,28.0790004172417,37.9960037638647,4.78850002288818,9.15989982604981,428.5207,0,1928.8695,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.0717100205626339,22.2273860573769
"7785","c416",2025-06-11T16:08:00+00:00,10766.2149810791,53.2544004559517,2.19712770208716,250.091638088226,0,223.81209487915,0,39.4267375946045,179.579998779297,282.961240386963,73.5057638573647,28.0940006712976,38.0520036726186,4.78350002288818,9.14970001220703,428.6478,0,1928.2037,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.0331893831901252,14.4348696768284
"7786","c416",2025-06-11T16:08:10+00:00,10767.7903411865,53.2576542973518,2.17302394807339,250.031681728363,0,223.862619161606,0,39.7478137969971,180.620004272461,305.161829681397,101.761146981716,28.1070009152765,38.1070036564425,4.77889999389648,9.09709999084473,428.6949,0,1928.5943,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.029037683788687,18.4417897462845
"7787","c416",2025-06-11T16:08:20+00:00,10767.0195098877,53.2609026074409,2.14890428259969,250.042312002182,0,224.088532161713,0,38.4510154724121,181.739999389648,267.580850524902,47.8512544441223,28.1240005943853,38.1640030161504,4.77400001525879,9.10419998168945,428.6337,0,1927.3676,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.0454735622853041,16.594909965992
"7788","c416",2025-06-11T16:08:30+00:00,10765.3694763184,53.2641604781151,2.1247642070055,250.098435974121,0,224.130061244965,0,37.7384334564209,184.7,224.899945220947,61.9812542206049,28.1369996941751,38.2190035019564,4.76909996032715,9.08279991149902,428.5446,0,1926.1711,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.111931919619441,46.07047945261
"7789","c416",2025-06-11T16:08:40+00:00,10764.9449829102,53.2674313306809,2.10061245560646,250.112718868256,0,224.042797422409,0,37.8378196716309,185.859997558594,231.59993522644,73.1468595659733,28.1530000601739,38.2750025578952,4.76450000762939,9.07069999694824,428.4492,0,1926.2018,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.0215068965414539,17.4512095451355
"7790","c416",2025-06-11T16:08:50+00:00,10766.7965148926,53.2707054972649,2.07646365463734,250.038627624512,0,223.958615398407,0,38.5676429748535,186.259997558594,299.806269378662,111.430671011657,28.1660004108063,38.332003950824,4.75950000762939,9.05360000610352,428.4972,0,1925.4316,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.0296394877163693,15.890796661377
"7791","c416",2025-06-11T16:09:00+00:00,10767.4160583496,53.2739815831184,2.05232562720776,250.019245815277,0,223.946581697464,0,38.9156246185303,189.060003662109,297.33521736145,43.6555360627174,28.1830007464224,38.3870039348443,4.75479999542236,9.05899993896484,428.5309,0,1924.8911,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.0310983147546649,13.1952548027039
"7792","c416",2025-06-11T16:09:10+00:00,10765.5608459473,53.2772472977638,2.02817719206214,250.07639708519,0,223.981394481659,0,38.7786167144775,190.9,183.756375961304,90.9801804697514,28.1960010969985,38.443003304051,4.75,9.05059997558594,428.4347,0,1924.2568,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.0652292867470533,25.0471479594707
"7793","c416",2025-06-11T16:09:20+00:00,10763.8255889893,53.2804931282997,2.00401418358088,250.130724954605,0,223.942137289047,0,39.0432769775391,193.939996337891,178.991882171631,64.3061128807068,28.2119999589583,38.499003401503,4.745,9.03759994506836,428.5406,0,1924.5893,0,NA,2.9,NA,0.65,NA,NA,NA,NA,NA,0.095057026900351,17.4721298217773
